timestamp,scan_num,total_ports_scanned,successful_connections,failed_connections,error_rate,ports_per_second,cpu_percent,memory_mb,open_file_descriptors
2026-04-24T10:52:30.457194,13,100,2,98,98.0,44.37107017495097,3.3,173.9296875,17
2026-04-24T10:52:38.698792,2,100,2,98,98.0,46.496248483435565,5.9,173.9296875,17
2026-04-24T10:52:44.638418,14,100,2,98,98.0,51.44097294473097,5.7,173.9296875,17
2026-04-24T10:52:53.439895,3,100,2,98,98.0,51.498294389624526,9.3,173.9296875,17
2026-04-24T10:52:59.587126,15,100,2,98,98.0,51.40819576374815,5.0,173.9296875,17
2026-04-24T10:53:09.266373,4,100,2,98,98.0,49.138203547767255,10.7,173.9296875,17
2026-04-24T10:53:14.399192,16,100,2,98,98.0,55.04722604460121,10.8,173.9296875,18
2026-04-24T10:53:24.211580,5,100,2,98,98.0,46.53065868667664,0.9,173.9296875,17
2026-04-24T10:53:30.566990,17,100,2,98,98.0,46.55475426086143,5.1,173.9296875,17
2026-04-24T10:53:39.367895,6,100,2,98,98.0,48.871476624693074,4.1,173.9296875,17
2026-04-24T10:53:44.639834,18,100,2,98,98.0,51.43228786984496,3.3,173.9296875,17
2026-04-24T10:53:54.315399,7,100,2,98,98.0,48.845819684388836,4.1,173.9296875,17
2026-04-24T10:54:00.390855,19,100,2,98,98.0,49.599603579337916,0.9,173.9296875,17
2026-04-24T10:54:08.395577,8,100,2,98,98.0,50.90451300144537,7.3,173.9296875,17
2026-04-24T10:54:15.410949,20,100,2,98,98.0,46.50587965046682,4.9,173.9296875,17
2026-04-24T10:54:24.216542,9,100,2,98,98.0,49.46016974706338,6.6,173.9296875,17
2026-04-24T10:54:39.362995,10,100,2,98,98.0,46.33497613373713,4.9,173.93359375,17
2026-04-24T10:54:53.449228,11,100,2,98,98.0,51.41477250570132,12.1,173.93359375,17
2026-04-24T10:55:08.603736,12,100,2,98,98.0,51.54761922361211,10.2,173.9375,17
2026-04-24T10:55:24.224279,13,100,2,98,98.0,46.516716705970296,1.7,173.94140625,17
2026-04-24T10:55:39.381798,14,100,2,98,98.0,46.46827264118555,13.7,173.94140625,17
2026-04-24T10:55:54.341826,15,100,2,98,98.0,48.87087276761517,12.0,173.9453125,17
2026-04-24T10:56:08.424575,16,100,2,98,98.0,51.426089852307726,0.0,173.94921875,17
2026-04-24T10:56:24.248820,17,100,2,98,98.0,46.49698572502663,1.7,173.953125,17
2026-04-24T10:56:38.332886,18,100,2,98,98.0,51.41756877107348,0.0,173.953125,17
2026-04-24T10:56:54.375456,19,100,2,98,98.0,46.6315893406117,3.3,173.95703125,17
2026-04-24T10:57:09.322452,20,100,2,98,98.0,46.52200612266335,0.0,173.9609375,17
